stimuli,dx,max_score,stratum,score_range,mdc (items),mdc_percentage
Cat,control,35,1,0-5,5,0.13914180025842265
Cat,control,35,2,6-10,7,0.19951526794325986
Cat,control,35,3,11-15,8,0.21007859983697824
Cat,control,35,4,16-20,8,0.20426732657647123
Cat,control,35,5,21-25,7,0.17948313225700407
Cat,control,35,6,26-30,5,0.12906521393597103
Cat,pwa,35,1,0-5,5,0.13765134367969917
Cat,pwa,35,2,6-10,7,0.1976738269309236
Cat,pwa,35,3,11-15,8,0.20837534587683787
Cat,pwa,35,4,16-20,8,0.20268797803768285
Cat,pwa,35,5,21-25,7,0.17821317637276213
Cat,pwa,35,6,26-30,5,0.1282395792181038
Cinderella,control,95,1,0-5,4,0.0343571521400895
Cinderella,control,95,2,6-10,6,0.06262566780160497
Cinderella,control,95,3,11-15,9,0.08542317841731636
Cinderella,control,95,4,16-20,10,0.10328651095871139
Cinderella,control,95,5,21-25,12,0.11668448392959646
Cinderella,control,95,6,26-30,12,0.12602834639813093
Cinderella,control,95,7,31-35,13,0.13168035147938023
Cinderella,control,95,8,36-40,13,0.1339608419741487
Cinderella,control,95,9,41-45,13,0.13315414093042138
Cinderella,control,95,10,46-50,13,0.1320247159065283
Cinderella,control,95,11,51-55,13,0.12846561207353646
Cinderella,control,95,12,56-60,12,0.12172074640327535
Cinderella,control,95,13,61-65,11,0.11260900783418992
Cinderella,control,95,14,66-70,10,0.10130891993222602
Cinderella,control,95,15,71-75,9,0.08798149284625434
Cinderella,control,95,16,76-80,7,0.07277231951198948
Cinderella,control,95,17,81-85,6,0.0558133778177885
Cinderella,control,95,18,86-90,4,0.03722458575249454
Cinderella,pwa,95,1,0-5,4,0.03558672649864757
Cinderella,pwa,95,2,6-10,7,0.0647857745444129
Cinderella,pwa,95,3,11-15,9,0.08826667939702998
Cinderella,pwa,95,4,16-20,11,0.10660856393900703
Cinderella,pwa,95,5,21-25,12,0.12031490161627956
Cinderella,pwa,95,6,26-30,13,0.12982547818572804
Cinderella,pwa,95,7,31-35,13,0.13552615335819945
Cinderella,pwa,95,8,36-40,14,0.13775688040041623
Cinderella,pwa,95,9,41-45,13,0.13681833591400844
Cinderella,pwa,95,10,46-50,13,0.13561633492499392
Cinderella,pwa,95,11,51-55,13,0.13188235936555304
Cinderella,pwa,95,12,56-60,12,0.12487018273418304
Cinderella,pwa,95,13,61-65,11,0.1154456467326439
Cinderella,pwa,95,14,66-70,10,0.10379517118153836
Cinderella,pwa,95,15,71-75,9,0.0900864503088521
Cinderella,pwa,95,16,76-80,8,0.07447074635004824
Cinderella,pwa,95,17,81-85,6,0.05708485409172104
Cinderella,pwa,95,18,86-90,4,0.03805279014955354
Sandwich,control,25,1,0-5,6,0.20650947024186983
Sandwich,control,25,2,6-10,7,0.24620867623897602
Sandwich,control,25,3,11-15,6,0.2366363799987129
Sandwich,control,25,4,16-20,5,0.18966352401168174
Sandwich,pwa,25,1,0-5,6,0.20593991913185272
Sandwich,pwa,25,2,6-10,7,0.2456686510378272
Sandwich,pwa,25,3,11-15,6,0.23615663631989392
Sandwich,pwa,25,4,16-20,5,0.18932956593217853
Umbrella,control,36,1,0-6,6,0.1505258905432851
Umbrella,control,36,2,7-11,8,0.1998826036358452
Umbrella,control,36,3,12-16,8,0.20568096295489147
Umbrella,control,36,4,17-21,8,0.19904072518651705
Umbrella,control,36,5,22-26,7,0.17383377546953827
Umbrella,control,36,6,27-31,5,0.12449997798587409
Umbrella,pwa,36,1,0-6,6,0.15205231503075498
Umbrella,pwa,36,2,7-11,8,0.20164201306904372
Umbrella,pwa,36,3,12-16,8,0.2072803212949198
Umbrella,pwa,36,4,17-21,8,0.2005194831596795
Umbrella,pwa,36,5,22-26,7,0.17501958155540787
Umbrella,pwa,36,6,27-31,5,0.1252704470684185
Window,control,24,1,0-4,5,0.1950711551768269
Window,control,24,2,5-9,7,0.2546656813837598
Window,control,24,3,10-14,6,0.23916024342214082
Window,control,24,4,15-19,5,0.2002650135173798
Window,pwa,24,1,0-4,5,0.191533546395146
Window,pwa,24,2,5-9,7,0.25107805429899077
Window,pwa,24,3,10-14,6,0.23618893369535876
Window,pwa,24,4,15-19,5,0.1980397291149142
